drafttek_rank,drafttek_name,drafttek_school,drafttek_position,player_name,player_team,player_position,cfo_valuation,current_roster_status,current_draft_projection,is_override,class_year,match_confidence
430,Geno VanDeMark,Alabama,OG,Geno VanDeMark,Alabama,OL,,active,999,False,5,1.0
432,Star Thomas,Tennessee,RB,Star Thomas,Tennessee,RB,,active,999,False,4,1.05
433,Chris Hilton Jr.,LSU,WR,Chris Hilton Jr.,LSU,WR,205920,active,999,False,5,1.05
436,Jaylon Guilbeau,Texas,CBN,Jaylon Guilbeau,Texas,DB,108000,active,999,False,5,1.0
441,DeVonta Smith,Notre Dame,CB,DeVonta Smith,Notre Dame,CB,471414,active,999,False,5,1.05
444,Brett Thorson,Georgia,P,Brett Thorson,Georgia,P,97200,active,999,False,5,1.05
451,DeCarlos Nicholson,USC,CB,DeCarlos Nicholson,USC,CB,569568,active,999,False,,1.05
467,Nic Anderson,LSU,WR,Nic Anderson,LSU,WR,,departed_transfer,999,False,5,1.05
469,Dominic Zvada,Michigan,PK,Dominic Zvada,Michigan,PK,360000,active,999,False,,1.05
480,Keelan Marion,Miami (FL),WR,Keelan Marion,Miami,WR,576000,active,999,False,5,1.05
501,Ethan Onianwa,Ohio State,OG,Ethan Onianwa,Ohio State,OT,716549,active,999,False,5,1.0
503,D.J. Harvey,USC,CBN,DJ Harvey,USC,CB,189412,active,999,False,5,1.0
510,Keeshawn Silver,USC,DL1T,Keeshawn Silver,USC,DT,598417,active,999,False,5,1.0
517,Dominic Bailey,Tennessee,DL5T,Dominic Bailey,Tennessee,DL,,active,999,False,4,1.0
518,Beau Gardner,Georgia,LS,Beau Gardner,Georgia,LS,97200,active,999,False,5,1.05
523,Luke Basso,Oregon,LS,Luke Basso,Oregon,LS,90000,active,999,False,,1.05
527,Derek Simmons,Oklahoma,OT,Derek Simmons,Oklahoma,OL,450000,active,999,False,2,1.0
542,Cash Jones,Georgia,RB,Cash Jones,Georgia,RB,39815,active,999,False,5,1.05
551,John Ferlmann,Ohio State,LS,John Ferlmann,Ohio State,LS,31499,active,999,False,,1.05
559,Jared Dawson,Notre Dame,DL3T,Jared Dawson,Notre Dame,DL,172800,active,999,False,5,1.0
562,Josh McCray,Georgia,RB,Josh McCray,Georgia,RB,66604,active,999,False,5,1.05
564,Theran Johnson,Oregon,CB,Theran Johnson,Oregon,DB,518870,active,999,False,5,1.0
565,Rocco Underwood,Florida,LS,Rocco Underwood,Florida,LS,112116,active,999,False,5,1.05
566,Damon Payne Jr.,Michigan,DL1T,Damon Payne,Michigan,DL,245593,active,999,False,5,0.88
571,Jacobian Guillory II,LSU,DL1T,Jacobian Guillory II,LSU,DT,591805,active,999,False,5,1.0
576,Giovanni El-Hadi,Michigan,OG,Giovanni El-Hadi,Michigan,OL,547542,active,999,False,5,1.0
596,Noah Burnette,Notre Dame,PK,Noah Burnette,Notre Dame,PK,105000,active,999,False,,1.05
